SipraHub Intranet MVP — Phase 1: All User Stories & Tasks,,,,,,,,,,,
Modules: Infrastructure · Auth · User Management · Announcements · Timesheets · Leave · HR Documents · Search · Dashboard · Hardening,,,,,,,,,,,
,,,,,,,,,,,
Module,Feature ID,Feature Name,User Story,Description,Priority,Story Points,Dependencies,Acceptance Criteria,Jira Type,Sprint,Status
Authentication,AUTH-002,User Profile Sync from Microsoft Graph,"As an employee, I want my name, email, department, job title, and manager to be pulled from Microsoft on every login so that my profile is always up to date.","On POST /api/auth/sync, call Graph API /me and /me/manager. Upsert users row with latest display_name, email, job_title, department, manager_id. If Graph fails temporarily, allow login with cached profile.",Critical,8,AUTH-001,"Users table is upserted on every successful login; name, email, department, job_title updated from Graph; manager_id updated from Graph /me/manager; If Graph fails and user exists, login succeeds with warning log; New fields populated on first login",Story,Sprint 1,To Do
Authentication,AUTH-003,Session Cookie & Auth State,"As an employee, I want my session to persist across page refreshes without re-entering my password so that I have a seamless working experience.",Issue httpOnly Secure SameSite=Strict session JWT cookie on successful sync. Implement GET /api/auth/me to return current user profile. Frontend AuthContext calls /me on mount.,Critical,8,AUTH-001,Session cookie set after successful sync; Cookie is httpOnly and Secure; GET /api/auth/me returns user profile with role; Refreshing the page does not log the user out; Cookie absent ? 401 on protected endpoints,Story,Sprint 1,To Do
Authentication,AUTH-004,Role Bootstrap on First Login,"As a system admin, I want the first hr_admin and system_admin to be automatically assigned on their first login so that the system has admin access without manual DB edits.","On first sync, check if email matches INITIAL_HR_ADMIN_EMAIL ? assign hr_admin. Check INITIAL_SYSTEM_ADMIN_EMAIL ? assign system_admin. Otherwise assign employee. If user already exists and has a role, do not downgrade.",Critical,6,AUTH-002,INITIAL_HR_ADMIN_EMAIL user gets role=hr_admin on first login; INITIAL_SYSTEM_ADMIN_EMAIL user gets role=system_admin on first login; All other new users get role=employee; Existing roles are not overwritten on re-login,Story,Sprint 1,To Do
Authentication,AUTH-005,Deactivated User Block,"As a system admin, I want deactivated users to be blocked from logging in so that offboarded employees immediately lose access.","On POST /api/auth/sync, after token validation, check users.is_active. If false, return 403 with error code USER_DEACTIVATED. Do not issue a session cookie.",Critical,4,AUTH-003,Deactivated user (is_active=false) cannot complete login; Receives 403 USER_DEACTIVATED; No session cookie is issued; Active user is unaffected; Re-activating a user immediately restores login access,Story,Sprint 1,To Do
Authentication,AUTH-006,Logout,"As an employee, I want to log out of SipraHub so that my session is ended on this device.",Implement POST /api/auth/logout. Clear session cookie server-side. Optionally trigger MSAL logout on the frontend.,High,3,AUTH-003,Clicking Logout clears session cookie; GET /api/auth/me after logout returns 401; User is redirected to login screen; Subsequent protected API calls fail with 401,Story,Sprint 1,To Do
Authentication,AUTH-007,Route Guards & Protected Pages,"As a developer, I want frontend routes to be protected by auth and role checks so that unauthorized users are redirected before seeing any data.","Create ProtectedRoute component that checks AuthContext. Unauthenticated users redirect to login. Role-specific pages (e.g., admin panel) render 403 if wrong role. All API endpoints enforce session server-side.",High,6,AUTH-003,Unauthenticated user hitting /dashboard is redirected to login; Employee visiting /admin gets 403 page; Role check at API level returns 403 even if UI is bypassed; Navigation menu shows only role-appropriate items,Story,Sprint 1,To Do
User Management,USER-001,List All Users (System Admin),"As a system admin, I want to see a paginated list of all users with their role, active status, and manager so that I can manage the workforce directory.","Implement GET /api/users with pagination (page, limit). Return id, name, email, role, is_active, job_title, department, manager_id. System admin only.",High,6,AUTH-004,"System admin sees all users; Non-system_admin receives 403; Pagination works with page and limit params; Search by name or email works; Results include role, is_active, and manager fields",Story,Sprint 2,To Do
User Management,USER-002,Change User Role (System Admin),"As a system admin, I want to change a user's role so that I can promote employees to manager, hr_admin, or system_admin as needed.",Implement PATCH /api/users/:id/role with body {role}. Validate role is in enum. Prevent system_admin from demoting themselves. Only system_admin can call this endpoint.,High,6,USER-001,"System admin can change any user's role to employee, manager, hr_admin, or system_admin; Invalid role string returns 400 INVALID_ROLE; System admin cannot demote themselves (400 error); Non-system_admin gets 403; Role change is immediate; audit log records actor and target",Story,Sprint 2,To Do
User Management,USER-003,Activate / Deactivate User (System Admin),"As a system admin, I want to deactivate or reactivate user accounts so that offboarded employees lose access and returning staff regain it.",Implement PATCH /api/users/:id/active with body {is_active: boolean}. System admin cannot deactivate themselves. Deactivated users are blocked at login.,High,4,USER-001,System admin can set any user is_active=false; Deactivated user cannot log in; Reactivated user can log in on next attempt; System admin cannot deactivate themselves (400); Non-system_admin gets 403; audit log records action,Story,Sprint 2,To Do
User Management,USER-004,Update Manager Mapping (System Admin),"As a system admin, I want to manually set or correct a user's manager assignment so that approval workflows route to the right person.",Implement PATCH /api/users/:id/manager with body {manager_id}. Validates manager_id exists in users table. Only system_admin may call this.,High,4,USER-001,System admin can set manager_id on any user; Invalid manager_id returns 404; A user can be set to have no manager (null); Non-system_admin gets 403; Leave routing and timesheet review use updated manager,Story,Sprint 2,To Do
User Management,USER-005,View User Profile,"As any authenticated user, I want to view a user's basic profile so that I can look up colleagues' details.","Implement GET /api/users/:id. Employees and managers see limited fields (name, title, department, avatar). hr_admin and system_admin see full profile.",Medium,4,AUTH-003,"Any authenticated user can GET /api/users/:id; Employee gets name, email, job_title, department, avatar; hr_admin and system_admin see full record including role and is_active; Unauthenticated request returns 401",Story,Sprint 2,To Do
Announcements,ANN-001,Announcement Feed,"As an employee, I want to see a list of company announcements sorted with pinned posts first so that I never miss important updates.","Implement GET /api/announcements. Return pinned posts first (desc by created_at), then unpinned (desc by created_at). Include pagination with page and limit. Return reaction counts and the caller's own reaction.",High,8,AUTH-003,"Feed shows pinned posts at top regardless of date; Non-pinned posts sorted newest first; Pagination works; Each post shows title, body, author, timestamp, reaction counts, and user's own reaction; Unauthenticated request returns 401",Story,Sprint 2,To Do
Announcements,ANN-002,Create Announcement (HR Admin),"As an HR Admin, I want to publish a new announcement with a rich-text body so that all employees are informed of company news.","Implement POST /api/announcements. Only hr_admin may call. Validate title and body non-empty. Store author_id. Body is sanitised on write: strip all tags except bold, ul, li, a.",High,6,ANN-001,HR Admin can create announcement with title and body; Empty title returns 400 VALIDATION_ERROR; Empty body returns 400; HTML is sanitised on save; Post appears in feed immediately; Non-hr_admin receives 403,Story,Sprint 2,To Do
Announcements,ANN-003,Edit Announcement (HR Admin),"As an HR Admin, I want to edit an existing announcement so that I can correct mistakes or update content.",Implement PATCH /api/announcements/:id. Only hr_admin may call. Re-sanitise body on every update. Store updated_at.,Medium,4,ANN-002,HR Admin can edit title and body of any announcement; Changes appear in feed immediately; updated_at is refreshed; Body sanitisation applied on update; Non-hr_admin receives 403; Non-existent ID returns 404,Story,Sprint 2,To Do
Announcements,ANN-004,Pin / Unpin Announcement (HR Admin),"As an HR Admin, I want to pin important announcements so they always appear at the top of the feed.",Implement PATCH /api/announcements/:id with {is_pinned: boolean}. Only hr_admin may call. Pinned posts float to top on next feed load.,Medium,3,ANN-002,HR Admin can set is_pinned=true; Pinned post appears above all non-pinned posts; HR Admin can unpin (is_pinned=false); Multiple pinned posts are sorted by newest first among themselves; Non-hr_admin receives 403,Story,Sprint 2,To Do
Announcements,ANN-005,Delete Announcement (HR Admin),"As an HR Admin, I want to delete an announcement so that outdated or incorrect posts are removed from the feed.",Implement DELETE /api/announcements/:id. Only hr_admin may call. Cascade delete all reactions in the same transaction.,Medium,3,ANN-002,HR Admin can delete any announcement; Post disappears from feed immediately; All reactions for that post are also deleted; Non-hr_admin receives 403; Non-existent ID returns 404,Story,Sprint 2,To Do
Announcements,ANN-006,React to Announcement (Emoji),"As an employee, I want to react to an announcement with an emoji so that I can quickly acknowledge posts.","Implement POST /api/announcements/:id/reactions with {emoji}. Valid values: thumbs_up, heart, laugh, surprised, sad. Upsert on (announcement_id, user_id) unique constraint so new reaction replaces old.",Medium,6,ANN-001,Employee can react with any of 5 valid emojis; Second reaction from same user replaces first (not duplicated); Invalid emoji code returns 400; Reaction count updates in feed; User's own reaction is marked in feed response,Story,Sprint 2,To Do
Announcements,ANN-007,Remove Reaction,"As an employee, I want to remove my emoji reaction from an announcement so that I can undo a reaction.",Implement DELETE /api/announcements/:id/reactions. Deletes the calling user's reaction for this post. No-op if user has no reaction.,Low,2,ANN-006,User can delete their own reaction; Count decrements in feed; Deleting a non-existent reaction returns 200 (idempotent); User cannot delete another user's reaction; Reaction removed immediately,Story,Sprint 2,To Do
Announcements,ANN-008,Announcement Rich-Text Editor (Frontend),"As an HR Admin, I want a rich-text editor when composing announcements so that I can format posts with bold, lists, and links.","Integrate a lightweight rich-text editor (e.g., Tiptap or similar). Restrict toolbar to bold, unordered list, and link insertion only. Preview rendered output before publish.",Medium,8,ANN-002,Rich text editor renders in create/edit form; Bold button works; Unordered list button works; Link insertion works; Other formatting buttons are absent; Preview shows rendered HTML; Submit sends sanitised HTML to API,Story,Sprint 2,To Do
Timesheets,TS-001,View Current Week Timesheet,"As an employee, I want to see my current week's timesheet with all entries so that I can track what I have already logged.",Implement GET /api/timesheets?week=YYYY-MM-DD. Return or auto-create a draft timesheet for the ISO week containing the given date. Include all entries. Return status.,Critical,8,AUTH-003,Calling with current week date returns or creates a draft timesheet; All entries for the week are returned; Status field reflects draft/submitted/reviewed; Employee can only see their own timesheet; Unauthenticated returns 401,Story,Sprint 3,To Do
Timesheets,TS-002,Add Timesheet Entry,"As an employee, I want to add a time log entry for a specific date and project so that I can record my daily work.","Implement POST /api/timesheets/:id/entries with {date, project, hours, note}. Only owner of a draft timesheet can add entries. Validate hours 0.5–24 in 0.5 increments.",Critical,8,TS-001,Employee can add entry to their draft timesheet; hours < 0.5 returns 400; hours > 24 returns 400; hours not in 0.5 increments returns 400; project empty string returns 400; Entry appears in GET response; Submitted/reviewed timesheet returns 403 on new entry,Story,Sprint 3,To Do
Timesheets,TS-003,Edit Timesheet Entry,"As an employee, I want to edit an existing timesheet entry so that I can correct mistakes before submission.",Implement PATCH /api/timesheets/:id/entries/:entryId. Only owner of a draft timesheet can edit. Same validation as create.,High,5,TS-002,"Owner can update date, project, hours, and note on a draft entry; Same validation rules as create apply; Submitted/reviewed timesheet entries return 403 on edit; Non-owner gets 403; Updated entry reflected in GET",Story,Sprint 3,To Do
Timesheets,TS-004,Delete Timesheet Entry,"As an employee, I want to delete an entry from my draft timesheet so that I can remove incorrect logs.",Implement DELETE /api/timesheets/:id/entries/:entryId. Only owner of a draft timesheet can delete entries.,High,3,TS-002,Owner can delete entry from draft timesheet; Entry no longer appears in GET; Submitted/reviewed timesheet returns 403 on delete; Non-owner gets 403; Non-existent entry returns 404,Story,Sprint 3,To Do
Timesheets,TS-005,Submit Timesheet,"As an employee, I want to submit my weekly timesheet so that my manager can review it.",Implement POST /api/timesheets/:id/submit. Only owner can submit. Transition draft ? submitted. Lock entries for the employee. Record submitted_at.,Critical,6,TS-001,Employee can submit their draft timesheet; Status changes to submitted; submitted_at timestamp recorded; Entries are locked after submit; Submitting already-submitted timesheet returns 409 CONFLICT; Non-owner gets 403,Story,Sprint 3,To Do
Timesheets,TS-006,Manager Reviews Team Timesheets,"As a manager, I want to see all submitted timesheets from my direct reports so that I can review the week's work.",Implement GET /api/timesheets/team. Returns all timesheets for users whose manager_id = current user's id. Filter by status optional. Paginate.,High,6,TS-001,Manager sees submitted timesheets for direct reports only; Employee accessing this endpoint gets 403; Non-direct-report timesheets are not visible; Status filter works; Pagination works; Returns employee name and week,Story,Sprint 3,To Do
Timesheets,TS-007,Manager Marks Timesheet as Reviewed,"As a manager, I want to mark a direct report's timesheet as reviewed so that the employee knows their time log is acknowledged.",Implement PATCH /api/timesheets/:id/status with {status: 'reviewed'}. Only the manager of the timesheet's owner can mark reviewed. Record reviewed_at and reviewed_by.,High,5,TS-006,Manager can transition submitted ? reviewed; reviewed_at and reviewed_by recorded; Non-manager of that employee gets 403; Employee cannot mark their own as reviewed; Timesheet status reflected in employee view,Story,Sprint 3,To Do
Timesheets,TS-008,Manager Rejects Timesheet (Back to Draft),"As a manager, I want to reject a submitted timesheet and send it back to draft so that the employee can make corrections.",Implement PATCH /api/timesheets/:id/status with {status: 'draft'} on a submitted timesheet. Only direct manager can reject. Employee can then edit and re-submit.,High,5,TS-006,Manager can transition submitted ? draft; Employee can edit entries again after rejection; Status shows draft in employee view; Manager cannot reject already-reviewed timesheet; Non-direct-manager gets 403,Story,Sprint 3,To Do
Timesheets,TS-009,Timesheet Week Navigation (Frontend),"As an employee, I want to navigate between different weeks on the timesheet page so that I can view or update historical entries.","Add prev/next week navigation on the timesheet UI. On week change, call GET /api/timesheets?week=YYYY-MM-DD with the new week's Monday date. Auto-create draft if missing.",Medium,5,TS-001,Week navigation buttons advance or retreat by one ISO week; Current week label shows the week range; Historical weeks show actual status; Future weeks show empty draft; Week auto-created on first access,Story,Sprint 3,To Do
Timesheets,TS-010,CSV Export (HR Admin),"As an HR Admin, I want to export timesheet data to CSV so that I can run payroll calculations or generate reports.","Implement GET /api/timesheets/export with query params (start_week, end_week, employee_id optional). Return CSV with columns: employee_name, email, week, date, project, hours, note, status.",Medium,6,TS-006,HR Admin can download CSV of timesheet data; CSV includes all required columns; Date range filter works; Employee filter works; Non-hr_admin gets 403; Empty result set returns empty CSV with headers,Story,Sprint 3,To Do
Timesheets,TS-011,Timesheet Summary Widget (Dashboard),"As an employee, I want to see my current week's timesheet summary on the dashboard so that I can quickly check if I have submitted.","Add a timesheet summary card to the dashboard showing: current week, status, total hours logged, submit button if draft.",Low,4,TS-001,Dashboard shows current week's timesheet status; Total hours logged this week displayed; Submit button visible if draft; Submitted badge visible if submitted; Reviewed badge visible if reviewed,Story,Sprint 3,To Do
Leave Management,LEAVE-001,View Leave Balances,"As an employee, I want to see my current leave balances by type so that I know how many days I have remaining.","Implement GET /api/leave-balances. Return all balance rows for the calling user: leave_type, year, total_days, used_days. Compute remaining = total – used.",High,5,AUTH-003,Employee sees their own balances for all leave types; remaining_days computed correctly; Balances for current year shown by default; Employee cannot see another employee's balances; Manager sees their own balances only,Story,Sprint 3,To Do
Leave Management,LEAVE-002A,Validate Leave Request Input,"As an employee, I want the system to validate my leave request inputs so that I am immediately informed of any data errors before submission.","Validate POST /api/leave-requests payload: ensure leave_type is a valid enum, start_date and end_date are present and well-formed, start_date is not after end_date, and reason is non-empty. Return 400 VALIDATION_ERROR on any failure. No DB writes occur in this step.",Critical,3,LEAVE-001,Valid payload passes validation; start_date > end_date returns 400 VALIDATION_ERROR; Missing leave_type returns 400; Invalid leave_type enum returns 400; Empty reason returns 400; All errors returned before any DB interaction,Story,Sprint 3,To Do
Leave Management,LEAVE-002B,Calculate Working Days,"As an employee, I want the system to compute the number of working days in my leave request so that weekends are automatically excluded from my leave count.","Given a validated start_date and end_date, compute working_days_requested by counting Mon–Fri days only (no public holiday exclusion in MVP). Return 400 if result is 0 (weekend-only range). This function is internally callable and independently unit-testable.",Critical,2,LEAVE-002A,Mon–Fri dates are counted; Sat and Sun excluded; Full Mon–Fri week = 5; Weekend-only range returns 400; Single weekday returns 1; Unit-testable in isolation without HTTP context,Story,Sprint 3,To Do
Leave Management,LEAVE-002C,Check Leave Balance,"As an employee, I want the system to verify I have sufficient leave balance before submitting so that I cannot accidentally over-request.","For leave_type annual and sick, query leave_balances for calling user and current year. Compare remaining_days (total_days ? used_days) against working_days_requested. If insufficient, return 400 INSUFFICIENT_BALANCE. Unpaid leave skips balance check. No DB writes in this step.",Critical,3,LEAVE-002B,Annual with sufficient balance passes; Annual with insufficient balance returns 400 INSUFFICIENT_BALANCE; Sick with sufficient balance passes; Sick with insufficient balance returns 400 INSUFFICIENT_BALANCE; Unpaid always passes; Independently testable with mocked balance data,Story,Sprint 3,To Do
Leave Management,LEAVE-002D,Create Leave Request Record,"As an employee, I want my validated leave request to be persisted so that it exists in the system with a pending status.","After validation and balance check pass, insert a new row into leave_requests: employee_id, leave_type, start_date, end_date, reason, working_days_requested, status=pending, created_at. Return the created record. No manager routing in this step.",Critical,3,LEAVE-002C,"Insert returns new leave_request with status=pending; Record contains correct employee_id, leave_type, dates, reason, working_days_requested; created_at is set to now; Record visible in GET /api/leave-requests; No manager assignment at this step",Story,Sprint 3,To Do
Leave Management,LEAVE-002E,Assign Manager to Leave Request,"As an employee, I want the system to automatically route my leave request to my manager so that the correct approver is notified.","After the leave request record is created, look up the employee's manager_id from users table. If manager_id is null or invalid, rollback the leave_request insert and return 400 NO_MANAGER_ASSIGNED. Otherwise set manager_id on the leave_request to complete submission.",Critical,2,LEAVE-002D,Request with valid manager is linked and submission succeeds; Null manager_id returns 400 NO_MANAGER_ASSIGNED and record is not persisted; Invalid manager_id returns 400 NO_MANAGER_ASSIGNED; manager_id visible in GET response; Independently testable by mocking user manager_id,Story,Sprint 3,To Do
Leave Management,LEAVE-003,View Own Leave History,"As an employee, I want to see all my past and pending leave requests so that I can track my leave usage.","Implement GET /api/leave-requests. Return leave requests for calling user with pagination. Include status, dates, leave type, and manager response.",High,4,LEAVE-002E,Employee sees all their own leave requests; Status shown for each; Pagination works; Sorted by created_at desc; Employee cannot see another employee's requests; Rejection reason visible when rejected,Story,Sprint 3,To Do
Leave Management,LEAVE-004,Cancel Pending Leave Request,"As an employee, I want to cancel a pending leave request so that I can withdraw an application I no longer need.",Implement DELETE /api/leave-requests/:id. Only owner can cancel. Only pending requests can be cancelled. Approved leaves cannot be cancelled in Phase 1.,Medium,4,LEAVE-003,Employee can cancel their own pending request; Cancellation changes status to cancelled; Approved request cancellation returns 400 (not supported in Phase 1); Non-owner gets 403; Cancelled request remains in history,Story,Sprint 3,To Do
Leave Management,LEAVE-005,Manager Views Team Leave Requests,"As a manager, I want to see all leave requests from my direct reports so that I can action pending requests promptly.",Implement GET /api/leave-requests/team. Returns leave requests where employee's manager_id = calling user's id. Filter by status optional.,High,5,LEAVE-002E,"Manager sees pending and historical leave requests for direct reports; Employee calling this endpoint gets 403; Non-direct-report requests not returned; Status filter works; Returns employee name, leave type, dates, and days requested",Story,Sprint 3,To Do
Leave Management,LEAVE-006,Manager Approves Leave Request,"As a manager, I want to approve a direct report's leave request so that the employee's leave balance is updated and they know the outcome.",Implement PATCH /api/leave-requests/:id with {status: 'approved'}. Only direct manager can approve. Atomically update status AND decrement leave_balances.used_days within a single DB transaction. Record approved_at.,Critical,10,LEAVE-005,Manager can approve pending request for direct report; Status changes to approved atomically with balance decrement; Balance deducted exactly once; Non-direct-manager gets 403; Approving already-approved request returns 409; Transaction rolls back if either update fails,Story,Sprint 3,To Do
Leave Management,LEAVE-007,Manager Rejects Leave Request,"As a manager, I want to reject a leave request with a reason so that the employee understands why it was declined.","Implement PATCH /api/leave-requests/:id with {status: 'rejected', rejection_reason: '...'}. rejection_reason is mandatory. Balance is not modified.",High,5,LEAVE-005,Manager can reject pending request with reason; rejection_reason is mandatory (400 if missing); Balance is unchanged on rejection; Status changes to rejected; Employee sees rejection_reason in their history; Non-direct-manager gets 403,Story,Sprint 3,To Do
Leave Management,LEAVE-008,HR Admin Sets Individual Leave Balance,"As an HR Admin, I want to set or update a specific employee's leave balance for a given type and year so that employees have accurate entitlements.","Implement PATCH /api/leave-balances/:employeeId with {leave_type, year, total_days}. Only hr_admin can call. Upsert the balance record.",High,5,AUTH-004,HR Admin can set total_days for any employee and leave type; Record created if missing; Record updated if exists; used_days is not reset by this endpoint; Non-hr_admin gets 403; Invalid leave_type returns 400,Story,Sprint 3,To Do
Leave Management,LEAVE-009,HR  Bulk Upload Leave Balances,"As an HR , I want to upload a CSV to set leave balances for multiple employees at once so that I can configure balances for the whole team quickly.","Implement POST /api/leave-balances/bulk with a CSV upload (email, leave_type, total_days). Skip invalid rows, return {updated: N, errors: [...]}. Only hr_admin can call.",Medium,8,LEAVE-008,HR Admin uploads CSV and balances are set; Invalid email rows are skipped with reason; Invalid leave_type rows are skipped; Valid rows are upserted; Response includes updated count and error list; Non-hr_admin gets 403; CSV with all invalid rows returns 200 with empty updated count,Story,Sprint 3,To Do
Leave Management,LEAVE-010,Leave Balance Widget (Dashboard),"As an employee, I want to see my leave balances on the dashboard so that I have a quick view of remaining days.",Add a leave balance summary card on the dashboard showing remaining days for each leave type.,Low,3,LEAVE-001 ,"Dashboard shows annual, sick, and unpaid remaining days; Balances update after approval; Links to leave requests page; Visible to all employees",Story,Sprint 3,To Do
Leave Management,LEAVE-011,Auto Approval for HR & Managers,"As an HR Admin or Manager, I want my leave requests to be automatically approved so that I do not require additional approval workflow.",Implement role-based auto approval logic for HR Admin and Manager leave requests. Skip pending approval state and directly mark requests as approved upon submission.,High,5,LEAVE-001,HR Admin and Manager leave requests are automatically approved; No manager approval step triggered; Leave balance updates correctly; Employee leave requests still require approval workflow,Task,Sprint 1,To Do
HR Documents,HRDOC-001,View HR Documents (Employee),"As an employee, I want to see all company-wide and my own individual HR documents so that I can access policies and personal records.",Implement GET /api/hr-documents. Return all company-scoped documents plus individual documents where assigned_user_id = caller's id. Paginate. Sort by created_at desc.,High,6,AUTH-003,"Employee sees all company scope documents; Employee sees their own individual documents; Employee does NOT see other employees' individual documents; Pagination works; Each result shows title, type, scope, onedrive_url, created_at",Story,Sprint 4,To Do
HR Documents,HRDOC-002,Add HR Document (HR Admin),"As an HR Admin, I want to add a new HR document record by pasting a OneDrive link so that employees can find and access it.","Implement POST /api/hr-documents with {title, type, scope, onedrive_url, assigned_user_id?}. Only hr_admin. Validate URL matches SharePoint or OneDrive pattern. If scope=individual, assigned_user_id required.",High,6,HRDOC-001,HR Admin can create document with all required fields; URL validation rejects non-OneDrive URLs (400); scope=individual without assigned_user_id returns 400; Document appears in correct employee's list; Non-hr_admin gets 403; company scope document visible to all employees,Story,Sprint 4,To Do
HR Documents,HRDOC-003,Edit HR Document Metadata (HR Admin),"As an HR Admin, I want to update a document's title, type, or link so that I can correct or refresh document records.",Implement PATCH /api/hr-documents/:id. Only hr_admin. All fields optional in payload. Re-validate URL if updated.,Medium,4,HRDOC-002,"HR Admin can update title, type, scope, and onedrive_url; URL re-validated on update; scope change from individual to company clears assigned_user_id; Non-hr_admin gets 403; Not found returns 404",Story,Sprint 4,To Do
HR Documents,HRDOC-004,Delete HR Document (HR Admin),"As an HR Admin, I want to delete a document record so that outdated links are removed from the system.",Implement DELETE /api/hr-documents/:id. Only hr_admin. Hard delete the metadata row.,Medium,3,HRDOC-002,HR Admin can delete any document record; Document disappears from employee view immediately; Non-hr_admin gets 403; Not found returns 404; OneDrive file itself is not deleted,Story,Sprint 4,To Do
